Anzahl,falsch,richtig,,
45,"coro, org","Coro, org",,
3,"Coro (1), org","Coro, org",, 
7,"Coro,  org","Coro, org",,
1,"Coro, org,","Coro, org",,
1,"Coro, org.","Coro, org",,
11,"cl (3), brasses, gran cassa","cl (3), brasses, grancassa",,
1,"A (2),  orch, bc","A (2), orch, bc",,
2,"A,  bc","A, bc",,
1,"A, cembalo","A, cemb",,
1,"A, coro femminile, pf","A, Coro femminile, pf",,
1,"A, Coro Maschile","A, Coro maschile",,
1,"A, coro maschile, orch","A, Coro maschile, orch",,
2,"A, coro, orch, bc","A, Coro, orch, bc",,
1,"A, Coro,  orch, bc","A, Coro, orch, bc",,
2,"A, coro, pf","A, Coro, pf",,
1,"A, 5 i, bc","A, i (5), bc",,
1,"A, keyboard","A, keyb",,
1,"Solo A, org","A, org",,
1,"A,strings","A, strings",,
2,"A,  strings,  bc","A, strings, bc",,
1,"A, strings,  bc","A, strings, bc",,
1,"A, 2 vl, b","A, vl (2), b",,
1,"A, 3 vl, org","A, vl (3), org",,
1,"A, 3 vla","A, vla (3)",,
2,"A, 3 vla, org","A, vla (3), org",,
1,"A, 3 vla, vlne, org","A, vla (3), vlne, org",,
1,"A, 4 vla, b","A, vla (4), b",,
2,accordeon,accordion,,
1,akkordeon,accordion,,
1,[B],B,,
1,B.,B,,
1,B only,B,,
1,B(2),B (2),,
5,"B (2), b.fig*","B (2), bc",,
1,"B (2), Coro, orch,","B (2), Coro, orch",,
1,"B, Coro,  orch, bc","B, Coro, orch, bc",,
10,"B, i (x)","B, i (X)",,
1,"B, orch,org","B, orch, org",,
1,"VSol: B, orch, org","B, orch, org",,
1,"Solo: B, strings","B, strings",,
1,"B, strings,org","B, strings, org",,
1,"B, 2 vl, bc","B, vl (2), bc",,
1,"B,vl, bc","B, vl, bc",,
1,Banda,banda,,
1,Bariton; Coro maschile,"Bariton, Coro maschile",,
5,"Bariton, coro maschile, orch","Bariton, Coro maschile, orch",,
1,"Bariton, coro, orch","Bariton, Coro, orch",,
2,"Bariton, coro, org","Bariton, Coro, org",,
1,"Bariton, keyboard","Bariton, keyb",,
3,Brass,brasses,,
11,brass orch,brasses,,
2,"cl solo, orch","cl, orch",,
1,"cl-solo, orch","cl, orch",,
1,"Cl. solo, orch","cl, orch",,
5,"cl princ, orch","cl, orch",,
1,"Cl, orch","cl, orch",,
1,"clav,",clav,,
3,"clav, 2 vl, b","clav, vl (2), b",,
4,"clav, 2 vl, bc","clav, vl (2), bc",,
1,"clno 1, 2; timp","clno (2), timp",,
1,"cor 1, 2; clno","cor (2), clno",,
2,3 cor,cor (3) ,,
1,cor(9),cor (9),,
1,X cor,cor (X),,
1,cor; trp,"cor, trp",,
6,"Coro,",Coro,,
1,Chor,Coro,,
1,Choro,Coro,,
2,Chorus,Coro,,
30,coro,Coro,,
1,Coro;,Coro,,
6,Coro (1),Coro ,,
26,choir (2),Coro (2),,
1,Chor (2),Coro (2),,
21,coro (2),Coro (2),,
1,"coro 1, 2",Coro (2),,
1,"Coro 1, 2",Coro (2),,
1,"coro (2), bc","Coro (2), bc",,
1,Coro (2); bc,"Coro (2), bc",,
1,"choir (2), orch","Coro (2), orch",,
1,"choir (2), org","Coro (2), org",,
1,"coro (2), pf","Coro (2), pf",,
1,3 coro,Coro (3),,
9,3 Coro,Coro (3) ,,
2,"3 Coro, bc","Coro (3), bc",,
4,"coro, keyb","Coro, keyb",,
1,"Coro, keyboard","Coro, keyb",,
1,"Coro, keyb.","Coro, keyb",,
13,"Coro, keybd","Coro, keyb",,
1,"coro, och","Coro, orch",,
1,"[Coro], orch","Coro, orch",,
81,"coro, orch","Coro, orch",,
2,"Chor, Orchester","Coro, orch",,
1,"Choro, orch","Coro, orch",,
2,"chorus, orch","Coro, orch",,
1,"Coro , orch","Coro, orch",,
3,Coro; orch,"Coro, orch",,
12,"Coro, orch,","Coro, orch",,
17,"Coro, orch.","Coro, orch",,
5,"Coro, Orch","Coro, orch",,
1,"coro, orch, b","Coro, orch, b",,
1,"choir, orch, bc","Coro, orch, bc",,
2,"Coro, orch, keyboard","Coro, orch, keyb",,
3,"Coro, orch  org","Coro, orch, org",,
8,"coro, orch, org","Coro, orch, org",,
1,"Coro, orch,org","Coro, orch, org",,
2,"Coro, orch,  org","Coro, orch, org",,
1,"Coro, orch, org.","Coro, orch, org",,
2,"Coro, Orch, org","Coro, orch, org",,
75,"coro, pf","Coro, pf",,
1,"coro, piano","Coro, pf",,
2,"Chor, pf","Coro, pf",,
2,"choro, pf","Coro, pf",,
2,"Coro,pf","Coro, pf",,
1,"Coro, pf,","Coro, pf",,
1,"Coro, pf.","Coro, pf",,
1,"coro, pf, orch","Coro, pf, orch",,
1,"coro, strings","Coro, strings",,
1,"Coro,strings","Coro, strings",,
3,"Coro, strings;","Coro, strings",,
1,"Coro, strings,","Coro, strings",,
30,"Coro, strings.","Coro, strings",,
2,"Coro, strings, 2 arp, bc","Coro, strings, arp (2), bc",,
1,"Coro, strings, 2 arp, org","Coro, strings, arp (2), org",,
7,"coro, strings, bc","Coro, strings, bc",,
1,"Coro, strings, clno (2),  org","Coro, strings, clno (2), org",,
1,"coro, strings, fag, bc","Coro, strings, fag, bc",,
1,"Coro, strings, 2 fl, 2 cor","Coro, strings, fl (2), cor (2)",,
1,"Coro  strings, org","Coro, strings, org",,
1,"Coro, strings, org.","Coro, strings, org",,
1,"fl, 2 cor, pf","fl, cor (2), pf",,
1,"fl, 2 fag","fl, fag (2)",,
1,"fl, 2 guit","fl, guit (2)",,
1,"fl, i(x)","fl, i (X)",,
1,"fl solo, strings","fl, strings",,
1,"fl, strings, arp, percussion","fl, strings, arp, stck",,
1,"fl solo, strings, bc","fl, strings, bc",,
35,"fl, 2 vl","fl, vl (2)",,
1,vlc.,vlc,,
1,"winds, percussion instr.","winds, stck",,
1,A-fl,a-fl,,
1,"A-fl, pf","a-fl, pf",,
1,"A-fl, pf, darabuka","a-fl, pf, darabuka",,
1,"A-fl, pf, djembé","a-fl, pf, djembé",,
1,"A-fl, vl, marimba, pf","a-fl, vl, marimba, pf",,
1,"A, vl, 2 vla, bc","A, vl, vla (2), bc",,
1,"arp, vl (2), va, vlc","arp, vl (2), vla, vlc",,
1,"B 1, B 2, B 3, orch, org","B (3), orch, org",,
1,"B (3),orch. org.","B (3), orch, org",,
1,"b-cl, vl(4)","b-cl, vl (4)",,
1,B (1); bc,"B, bc",,
1,"B, coro maschile, pf","B, Coro maschile, pf",,
1,"B. Coro, cor","B, Coro, cor",,
1,"B,  Coro, orch","B, Coro, orch",,
1,"B, coro, orch, bc","B, Coro, orch, bc",,
2,"B, coro, orch, org","B, Coro, orch, org",,
1,"VSol: B, Coro, orch, org","B, Coro, orch, org",,
1,"B, coro, org","B, Coro, org",,
1,"Solo B, Coro, org","B, Coro, org",,
1,"B,  orch, bc","B, orch, bc",,
1,"B, orch,  bc","B, orch, bc",,
3,"B, Klv.","B, pf",,
1,"B, pf.","B, pf",,
2,"B, strings,  bc","B, strings, bc",,
1,Basso continuo,bc,,
3,brass quintet,brasses (5),,
1,Brass Quintet,brasses (5),,
1,"Brass Quintet, Bass Drum","brasses (5), grancassa",,
2,"brasses, percussion","brasses, stck",,
1,"brass instruments, timp","brasses, timp",,
1,cb solo,cb,,
1,cb (1),cb ,,
1,"cb solo, strings","cb, strings",,
1,"cemb solo, strings, bc","cemb, strings, bc",,
1,"cemb, 2 vl, violetta, b","cemb, vl (2), violetta, b",,
6,"cemb, 2 vl, vla, b","cemb, vl (2), vla, b",,
3,"cemb, 2 vl, vla, vlc","cemb, vl (2), vla, vlc",,
1,"cemb, 2 vl, vlc","cemb, vl (2), vlc",,
2,cl 1,cl,,
1,cla,cl,,
1,clar,cl,,
3,"cl (1&2), cor (1&2)","cl (2), cor (2)",,
1,"cl (2),  cor (2), b (2)","cl (2), cor (2), b (2)",,
1,"cl (1 & 2), cor (2), trpt","cl (2), cor (2), tr",,
1,"cl 1,2; fag 1,2; cor 1,2","cl (2), fag (2), cor (2)",,
4,"cl (2), fag (2), cor (2),","cl (2), fag (2), cor (2)",,
1,"cl (2), fag (2). cor (2)","cl (2), fag (2), cor (2)",,
1,"cl (2), fg (2), cor (2)","cl (2), fag (2), cor (2)",,
1,"cl (2), fag (2), cor (2), serp.","cl (2), fag (2), cor (2), serpentone",,
1,"cl 1, 2; fag; clno; cor 1, 2","cl (2), fag, clno, cor (2)",,
1,"cl (2), fag, clno, cor (2),","cl (2), fag, clno, cor (2)",,
9,"cl (2), fag, cor (2),","cl (2), fag, cor (2)",,
1,"cl (2), bassoon, cor (2)","cl (2), fag, cor (2)",,
10,"4 cl, 2 fag, 2 cor","cl (4), fag (2), cor (2)",,
1,"4 cl, 2 fag, 2 cor, serpentone","cl (4), fag (2), cor (2), serpentone",,
5,"4 cl, 2 fag, 2 cor, tr","cl (4), fag (2), cor (2), tr",,
1,"4 cl, 2 fag, tr","cl (4), fag (2), tr",,
1,"cl (5), brasses, gran cassa","cl (5), brasses, grancassa",,
1,"cl, fag, 2 cor","cl, fag, cor (2)",,
1,cl 1; fag 1; cor; trp,"cl, fag, cor, tr",,
1,"clar in B, pf","cl, pf",,
1,"cl princ, strings","cl, strings",,
1,"cl, 2 vl, vla, vlc","cl, vl (2), vla, vlc",,
1,"cl ,vl, vla, b","cl, vl, vla, b",,
1,"cl, vlc, cb, perc","cl, vlc, cb, stck",,
4,"clav, 2 vl, vla, b","clav, vl (2), vla, b",,
2,"clav, 2 vl, vla, vlc","clav, vl (2), vla, vlc",,
3,"clav, 2 vl, vlc","clav, vl (2), vlc",,
1,"4 cnto, 5 i","cnto (4), i (5)",,
1,"cor 1, 2; vl 1, 2; vla; basso","cor (2), vl (2), vla, b",,
1,"3 cor, tr, t-trb, b-trb","cor (3), tr, t-trb, b-trb",,
1,"cor inglese, pipa, percussion(2)","cor inglese, pipa, stck (2)",,
1,"cor (1), cl (2)","cor, cl (2)",,
2,Coro.,Coro,,
1,"Coro (2), orch.","Coro (2), orch",,
1,"3 Coro, org","Coro (3), org",,
2,coro (4),Coro (4),,
1,4 Coro,Coro (4) ,,
1,"4 Coro, org","Coro (4), org",,
1,coro di fanciulli,Coro di fanciulli,,
1,"coro di fanciulli, pf","Coro di fanciulli, pf",,
3,Coro  femminile,Coro femminile,,
15,Coro feminile,Coro femminile,,
1,coro feminile,Coro femminile,,
1,coro femminile,Coro femminile,,
1,Coro femminile.,Coro femminile,,
1,"Coro feminile, cemb","Coro femminile, cemb",,
15,"Coro feminile, org","Coro femminile, org",,
1,"Coro femminile,org","Coro femminile, org",,
2,"Coro femminile,  org","Coro femminile, org",,
2,"Coro feminile, pf","Coro femminile, pf",,
9,"coro femminile, pf","Coro femminile, pf",,
1,"Coro femminile,  pf","Coro femminile, pf",,
1,"Coro femminile, strings.","Coro femminile, strings",,
1,"coro feminile, strings, cor","Coro femminile, strings, cor",,
1,"Coro feminile, strings, org","Coro femminile, strings, org",,
1,"Coro femminile,org.","Coro femminile, org",,
12,Coro  maschile,Coro maschile,,
38,coro maschile,Coro maschile,,
5,Choro maschile,Coro maschile,,
3,male chorus,Coro maschile,,
1,coro maschile (2),Coro maschile (2),,
1,"coro maschile, brasses","Coro maschile, brasses",,
1,"Coro maschile, brass, pf","Coro maschile, brasses, pf",,
1,"Coro maschile, brass, percussion","Coro maschile, brasses, stck",,
1,"Coro maschile, 2 cor","Coro maschile, cor (2)",,
2,"Coro maschile, i (x)","Coro maschile, i (X)",,
7,"coro maschile, orch","Coro maschile, orch",,
2,"coro maschile, org","Coro maschile, org",,
7,"Coro maschile,  org","Coro maschile, org",,
2,"coro maschile, pf","Coro maschile, pf",,
1,Coro maschile; pf,"Coro maschile, pf",,
1,"coro maschile, trb, org","Coro maschile, trb, org",,
1,"Coro,  b, org","Coro, b, org",,
2,Coro  bc,"Coro, bc",,
51,"coro, bc","Coro, bc",,
1,Coro; bc,"Coro, bc",,
2,"coro, brasses, orch, org","Coro, brasses, orch, org",,
1,"Coro, brass ensemble, org","Coro, brasses, org",,
1,"Coro, brasses, pf, percussions","Coro, brasses, pf, stck",,
1,"Coro, brass, timp","Coro, brasses, timp",,
1,"coro, cl, b-cl, cor, pf","Coro, cl, b-cl, cor, pf",,
1,"cl solo, Coro, orch","Coro, cl, orch",,
1,"cl, Coro, orch","Coro, cl, orch",,
1,"Coro, 2 clno, bc","Coro, clno (2), bc",,
1,"Coro, 2 cor","Coro, cor (2)",,
2,"Coro, 2 cor, bc","Coro, cor (2), bc",,
1,"Coro, 2 cor, org","Coro, cor (2), org",,
1,"coro, cor (2), trb (2)","Coro, cor (2), trb (2)",,
1,"Coro, fl, org.","Coro, fl, org",,
2,"coro, fl, pf","Coro, fl, pf",,
1,"coro, harmonium","Coro, harmonium",,
1,"fag, 2 cor","fag, cor (2)",,
1,"fag solo, orch","fag, orch",,
1,"fag-solo, orch","fag, orch",,
1,"fag solo, pf","fag, pf",,
1,Fl,fl,,
46,fl (1),fl,,
2,fl 1,fl,,
2,fl solo,fl,,
1,"fl,",fl,,
1,fl.,fl,,
1,"fl 1, 2, bc","fl (2), bc",,
1,"fl 1, 2, cl 1, 2","fl (2), cl (2)",,
23,3 fl,fl (3) ,,
1,"3 fl, b","fl (3), b",,
2,"3 fl, bc","fl (3), bc",,
2,fl ( 4 ),fl (4),,
1,4 fl,fl (4) ,,
1,"4 fl, bc","fl (4), bc",,