"SIGLUM","PUBLISHED","UNPUBLISHED"
"I-ADFd","0","136"
"I-ALTm","0","412"
"I-ALTsm","0","53"
"I-AN","423","518"
"I-ANAcl","4","0"
"I-BAI, I-Mb","0","1"
"I-BAR","15","373"
"I-BARas","0","33"
"I-BAas","0","19"
"I-BAca","0","8"
"I-BAcp","5","1408"
"I-BAibimus","0","19"
"I-BAisr","0","317"
"I-BAn","0","254"
"I-BAsn","0","643"
"I-BAsn, I-BAsn","0","2"
"I-BEc","0","267"
"I-BGc","4312","5074"
"I-BGc, I-BGgbs","0","4"
"I-BGc, I-BGi","0","13"
"I-BGc, I-Rama","0","1"
"I-BGc, PCM001","0","1"
"I-BGgbs","0","53"
"I-BGi","1475","2096"
"I-BGi, I-Nc","0","1"
"I-BGi, I-Vlevi","0","1"
"I-BI","0","91"
"I-BISs","0","362"
"I-BIad","0","70"
"I-BIcr","0","220"
"I-BORa","0","4"
"I-BObm","0","4"
"I-BREd","5870","12"
"I-BREk","110","0"
"I-BREm","1","0"
"I-BRI","0","4"
"I-BRams","0","1414"
"I-BRc","620","2421"
"I-BRc, I-Rama","0","1"
"I-BRc, I-Vc","0","1"
"I-BRd","0","337"
"I-BRq","0","637"
"I-BRs","64","0"
"I-BVT","0","4"
"I-BZd","2","0"
"I-BZf","3253","0"
"I-Baf","278","2619"
"I-Bas","181","295"
"I-Bba","0","1"
"I-Bbsr","0","1"
"I-Bc","0","6452"
"I-Bca","0","1"
"I-Bda","0","81"
"I-Bl","1","1086"
"I-Bmambo","0","3"
"I-Bof","305","281"
"I-Bsf","279","1575"
"I-Bsp","166","164"
"I-CAIbc","0","1"
"I-CALDf","1","0"
"I-CAM","0","2"
"I-CAbsl","0","1"
"I-CAcon","0","1"
"I-CAcon, I-Mts","0","1"
"I-CAft","0","1"
"I-CBp","0","488"
"I-CDO","0","1"
"I-CHc","30","525"
"I-CHf","427","0"
"I-CI","0","84"
"I-CLOsl","215","265"
"I-CMGd","90","0"
"I-CNM","0","63"
"I-CNVap","0","148"
"I-CNc","0","518"
"I-COLbarcella","21","284"
"I-COSn","0","201"
"I-COSn, I-CRg, I-BRams","0","1"
"I-COSn, I-OS","0","1"
"I-COcon","2","196"
"I-CRIc","0","20"
"I-CRg","0","1"
"I-CRg, I-Nc","0","1"
"I-CRg, I-OS","0","2"
"I-CRg, I-Vnm","0","2"
"I-CRsp","0","3"
"I-FAd","0","49"
"I-FELd","269","0"
"I-FERaa","0","206"
"I-FIEsm","0","1"
"I-FOG","0","1"
"I-FZc","326","573"
"I-Fa","770","0"
"I-Fc","3","5910"
"I-Fn","0","12"
"I-Fn, I-Fc","0","1"
"I-Fn, I-Fm","0","1"
"I-Fn, I-Mc","0","1"
"I-Fn, I-PLn","0","1"
"I-GLD","0","1"
"I-GOl","0","119"
"I-GR","0","1"
"I-GVNac","0","1172"
"I-GVNive","0","402"
"I-Gl","0","1537"
"I-Gsl","379","0"
"I-I","0","1"
"I-IE","0","176"
"I-Ivb","0","2"
"I-LAGhilfert","5","0"
"I-LANc","34","34"
"I-LATsl","0","4"
"I-LE","0","115"
"I-LECc","0","25"
"I-LEpastore","217","233"
"I-LIi","0","165"
"I-Li","0","673"
"I-Li, I-PAVu, I-Vavb","0","1"
"I-MAVb","4","0"
"I-MAav","454","0"
"I-MAc","0","28"
"I-MAi","0","406"
"I-MAi, I-MZc","0","1"
"I-ME","0","1"
"I-MERCbms, I-Vlevi","0","1"
"I-MEs","0","90"
"I-MFad","0","960"
"I-MFc","0","471"
"I-MFsv","0","4"
"I-MONcom","0","182"
"I-MOcaffagni","35","35"
"I-MOe","807","1022"
"I-MOl","0","11"
"I-MTc","0","1"
"I-MV","0","3"
"I-MZ","237","238"
"I-Mb","0","3561"
"I-Mbsp","0","1"
"I-Mc","13843","13240"
"I-Mc, I-BRc","0","3"
"I-Mc, I-FEbgu","0","1"
"I-Mc, MI1155","0","1"
"I-Mcbd, I-Mc","0","1"
"I-Mcom, I-BGc","0","103"
"I-Mcom, I-Mc","0","1"
"I-Mcv","0","297"
"I-Mcv, I-BRams","0","1"
"I-Mdemicheli","1001","921"
"I-Mfd","0","10"
"I-Mgentili","1","0"
"I-Mism","0","8"
"I-Mnomus","0","1"
"I-Mnomus, I-BGi","0","1"
"I-Mr","7","3855"
"I-Msc","410","1866"
"I-Mu","0","2"
"I-NOCa","0","99"
"I-NOCc","0","22"
"I-NOVcon","5","227"
"I-NV","26","0"
"I-Nbmp, I-Nc","0","7"
"I-Nc","3622","30129"
"I-Nc, I-TSci","0","1"
"I-Nn","12","9"
"I-Ns -> Ntst","0","739"
"I-OObgc","0","2"
"I-ORTd","398","0"
"I-OS","0","8531"
"I-OSI","0","175"
"I-OSTad","0","200"
"I-OSTc","0","1"
"I-PANd","618","0"
"I-PAVbu","0","1"
"I-PAc","0","8084"
"I-PDCc","0","133"
"I-PESc","50","16"
"I-PESd","391","3"
"I-PESdi","0","45"
"I-PESo","1","0"
"I-PESr","0","90"
"I-PEd","0","227"
"I-PEsf","48","46"
"I-PEsl","228","0"
"I-PEsp","561","563"
"I-PLbac, I-Rbms, I-Bbde","0","1"
"I-PLcom","7","0"
"I-PLcon","159","0"
"I-PLn","0","2"
"I-POLc, I-SOCbc","0","1"
"I-POn","0","2"
"I-PR","0","507"
"I-PRc","0","1"
"I-PRc, I-PRi","0","1"
"I-PRi","0","102"
"I-PSbsg","0","126"
"I-PSbsg, I-MTc","0","352"
"I-Pbc","0","1"
"I-Pca","442","0"
"I-Pl","0","702"
"I-Pl, I-Pci","0","1"
"I-Pl, I-Vnm","0","1"
"I-RAi","0","3"
"I-RCpc","0","1"
"I-REi","0","286"
"I-REm","66","0"
"I-RId","561","0"
"I-Rac","18","0"
"I-Raf","2502","1"
"I-Rama","2539","6934"
"I-Ras","125","202"
"I-Rbfm","0","1"
"I-Rbianchi","0","26"
"I-Rblg","0","1"
"I-Rbll","0","1"
"I-Rbmr, I-Rf","0","1"
"I-Rbompiani","62","62"
"I-Rbsa","0","1"
"I-Rbse","0","1"
"I-Rc","2597","3087"
"I-Rcagli","186","0"
"I-Rchg","65","66"
"I-Rdim","0","6"
"I-Rdp","174","874"
"I-Rf","0","1063"
"I-Ria","3245","2696"
"I-Ribimus","175","885"
"I-Ris","0","129"
"I-Rits, I-PRVc, I-PSGbc","0","1"
"I-Rli","1144","1107"
"I-Rmalvezzi","31","32"
"I-Rmassimo","144","0"
"I-Rn","1646","2219"
"I-Rn, I-Fn, I-CBp","0","2"
"I-Rn, I-Fn, I-Mc","0","1"
"I-Rn, I-Nc","0","1"
"I-Rps","0","83"
"I-Rrai","238","0"
"I-Rrostirolla","1587","3176"
"I-Rsc","1261","7639"
"I-Rsg","8890","0"
"I-Rsgf","0","81"
"I-Rsm","5690","0"
"I-Rsmc","0","37"
"I-Rsmt","2374","0"
"I-Ru","0","4"
"I-Rvcc","0","7"
"I-SAVA","0","2"
"I-SAa","110","0"
"I-SCAcc","8","0"
"I-SGEap","1","0"
"I-SGc","1","13"
"I-SLas, I-Vnm","0","1"
"I-SPAm","4","0"
"I-SPE","187","0"
"I-SPEbc","18","0"
"I-SSMc","0","46"
"I-SSMcap","0","2"
"I-SSOsp","0","25"
"I-SSVcap","0","1218"
"I-Sd","984","0"
"I-Sr","195","0"
"I-TAas","0","1"
"I-TAc","0","71"
"I-TEODm","8","0"
"I-TIVd","160","0"
"I-TRN","0","109"
"I-TSbsm","0","1"
"I-Tbnb","0","1"
"I-Tcai","0","1"
"I-Tcc, I-Tci, I-Fn, PCM001","0","1"
"I-Tci","139","0"
"I-Tdams","0","1"
"I-Tdb","0","1"
"I-Tf","1424","0"
"I-Tisp","0","1"
"I-Tpc","0","2"
"I-UDricardi","321","0"
"I-URBc","0","111"
"I-VBap","6","0"
"I-VCa","0","25"
"I-VEas","0","382"
"I-VEcon","18","473"
"I-VEsb","0","9"
"I-VEss","13","0"
"I-VGN","0","181"
"I-VIPap","12","0"
"I-VIb","1","1902"
"I-VIc","0","80"
"I-VId","2021","1635"
"I-VIof","23","0"
"I-Valn","0","194"
"I-Vasac","0","8"
"I-Vasac, I-Valn","0","1"
"I-Vasac, I-Vc","0","1"
"I-Vc","1133","12070"
"I-Vcg","0","11"
"I-Vgc","0","151"
"I-Vire","276","798"
"I-Vlevi","1129","2501"
"I-Vnm","262","9834"
"I-Vnm, I-Vc","0","338"
"I-Vnm, I-Vlevi","0","1"
"I-Vqs","1558","1361"