ID,031_q,031_m
100500629,t,S 1
100500629,t,bc
100500629,t,S 1
100500629,t,bc
100500630,t,S 1
100500630,t,S 1
100500630,t,S 1
100500632,t,S
100500632,t,org
100500632,t,S
100500632,t,S
100500632,t,org
100500633,t,S
100500633,t,bc 2
100500633,t,T 1
100500633,t,bc 1
100500634,t,S 1
100500634,t,bc
100500635,t,S
100500635,t,A
100500635,t,clno 1
100500635,t,bc 3
100500638,t,S
100500638,t,bc 2
100500640,t,A
100500640,t,vl 1
100500640,t,bc 2
100500641,t,A 1
100500643,t,A
100500643,t,bc
100500643,t,A
100500643,t,bc
100500645,t,S 1
100500645,t,bc 2
100500646,t,S 1
100500646,t,bc
100500646,t,S 1
100500646,t,bc
100500647,t,A
100500650,t,A solo
100500650,t,vl
100500650,t,bc
100500651,t,S solo
100500653,t,T solo
100500653,t,bc
100500656,t,vl 1
100500656,t,S 1
100500656,t,vl 1
100500657,t,T 1
100500657,t,bc
100500663,t,S solo
100500663,t,vl 1
100500663,t,bc 2
100500670,t,S 1
100500670,t,S 1
100500670,t,S 1
100500671,t,S 1
100500671,t,S 1
100500671,t,S 1
100500672,t,S
100500672,t,S
100500672,t,S
100500673,t,S 1
100500674,t,S 1
100500674,t,S 1
100500674,t,S 1
100500674,t,S 1
100500675,t,S 1
100500675,t,S 1
100500675,t,S 1
100500675,t,S 1
100500676,t,S 1
100500676,t,S 1
100500676,t,S 1
100500676,t,S 1
100500677,t,S 1
100500677,t,S 1
100500677,t,S 1
100500677,t,S 1
100500678,t,S 1
100500686,t,A
100500686,t,A
100500686,t,S 1
100500686,t,A
100500687,t,S 1
100500687,t,S 1
100500687,t,S 1
100500687,t,S 1
100500688,t,S 1
100500689,t,S 1
100500690,t,S 1
100500690,t,S 2
100500690,t,S 1
100500690,t,S 1
100500691,t,S 1
100500692,t,S 1
100500697,t,S 1
100500697,t,A
100500697,t,S 1
100500697,t,S 1
100500697,t,A
100500707,t,S
100500707,t,A
100500728,t,S
100500728,t,A
100500728,t,S
100500733,t,S
100500733,t,S
100500733,t,S
100500733,t,S
100500733,t,S
100500733,t,S
100500734,t,S
100500738,t,T
100500765,t,S
100500765,t,A
100500765,t,S
100500765,t,S
100500765,t,S
100500765,t,S
100500765,t,S
100500765,t,S
100500765,t,S
100500765,t,S
100500766,t,S
100500766,t,A
100500766,t,S
100500766,t,S
100500766,t,S
100500766,t,S
100500766,t,S
100500766,t,S
100500766,t,S
100500766,t,S
100500767,t,S
100500767,t,A
100500767,t,S
100500767,t,S
100500767,t,S
100500767,t,S
100500767,t,S
100500767,t,S
100500767,t,S
100500767,t,S
100500767,t,S
100500772,t,S
100500773,t,T
100500843,t,S 1 coro 1
100500843,t,bc 2
100500843,t,S 1 coro 1
100500843,t,vl 1
100500843,t,bc 2
100500843,t,T 1 coro 1
100500843,t,vl 1
100500843,t,bc 2
100500844,t,S coro 1
100500844,t,s-chirimía 1
100500844,t,bc
100500844,t,S coro 1
100500844,t,bc
100500845,t,S
100500845,t,vl 1
100500845,t,bc
100500846,t,S coro 1
100500846,t,s-chirimía
100500846,t,bc 2
100500846,t,S coro 1
100500846,t,s-chirimía
100500846,t,bc 2
100500846,t,S coro 1
100500846,t,s-chirimía
100500846,t,bc 2
100500848,t,S coro 1
100500848,t,s-chirimía 1
100500848,t,V
100500848,t,s-chirimía 1
100500849,t,S 1 coro 1
100500849,t,bc
100500849,t,bc
100500850,t,S 1 coro 1
100500850,t,bc
100500850,t,S 1 coro 1
100500850,t,s-chirimía 1
100500850,t,bc
100500850,t,bc
100500850,t,S 1 coro 1
100500850,t,bc
100500851,t,S 1 coro 1
100500851,t,bc
100500853,t,org
100500853,t,S 1 coro 1
100500900,t,S 1 coro 1
100500900,t,vl 1 coro 3
100500900,t,bc
100500901,t,S
100500901,t,vl 1
100500901,t,bc
100500901,t,S
100500901,t,vl
100500901,t,bc
100500905,t,S 1 coro 1
100500906,t,S 1 coro 1
100500906,t,bc 2
100500906,t,S 1 coro 1
100500906,t,bc 2
100500907,t,S coro 1
100500907,t,bc
100500907,t,S coro 1
100500907,t,bc
100500908,t,S coro 1
100500908,t,bc
100500908,t,S coro 1
100500908,t,bc
100500909,t,S 1 coro 1
100500909,t,vl 1
100500909,t,bc 2
100500910,t,S 1 coro 1
100500910,t,vl 1
100500910,t,bc 2
100500912,t,T coro 1
100500912,t,bc
100500912,t,S coro 1
100500912,t,bc
100500913,t,A coro 1
100500913,t,bc
100500913,t,A coro 1
100500913,t,bc
100500914,t,S 1 coro 1
100500915,t,S 1 coro 1
100500915,t,bc
100500916,t,S 1 coro 1
100500916,t,vl 1
100500916,t,S 1 coro 1
100500916,t,vl 1
100500916,t,bc
100500917,t,S 1 coro 1
100500917,t,bc 2
100500917,t,S 1 coro 1
100500917,t,vl 1
100500917,t,bc 2
100500917,t,bc 2
100500917,t,A coro 1
100500917,t,S 1 coro 1
100500917,t,vl 1
100500917,t,bc 2
100500917,t,bc 2
100500918,t,bc
100500919,t,S 1 coro 1
100500919,t,bc 2
100500919,t,S 1 coro 1
100500920,t,S coro 1
100500920,t,vl 1
100500920,t,arp
100500920,t,S coro 1
100500920,t,vl 1
100500940,t,T solo
100500940,t,vl 1
100500940,t,bc
100500948,t,S 1 coro 1
100500948,t,vl 1
100500948,t,bc
100500953,t,S 1 coro 1
100500953,t,vl 1
100500953,t,bc
100500955,t,S
100500955,t,vl 1
100500955,t,bc
100500956,t,S 1
100500956,t,vl 1
100500956,t,bc 2
100500957,t,S 1
100500957,t,vl 1
100500957,t,bc 2
100500957,t,S 1
100500957,t,vl 1
100500957,t,bc 2
100500958,t,S 1
100500958,t,vl 1
100500958,t,bc 2
100500958,t,S 1
100500958,t,vl 1
100500958,t,bc 2
100500959,t,T
100500959,t,bc
100500959,t,T
100500959,t,bc
100500961,t,S 1
100500961,t,vl 1
100500961,t,bc
100500961,t,S 1
100500961,t,vl 1
100500961,t,bc
100500997,t,S
100500997,t,A
100501014,t,T
100501020,t,A
100501023,t,S
100501061,t,S coro 1
100501061,t,s-chirimía 1
100501061,t,bc
100501061,t,s-chirimía 1
100501062,t,S 1 coro 1
100501062,t,org
100501062,t,S 1 coro 1
100501062,t,s-chirimía 1
100501062,t,org
100501062,t,s-chirimía 1
100501063,t,S coro 2
100501063,t,bc
100501063,t,bc
100501064,t,S coro 1
100501065,t,A coro 1
100501065,t,bc
100501067,t,S 1
100501067,t,S 2
100501071,t,bc
100501071,t,bc
100501072,t,T coro 1
100501072,t,S coro 2
100501072,t,bc
100501073,t,T
100501073,t,T
100501073,t,T
100501074,t,S
100501074,t,T
100501074,t,bc
100501074,t,A
100501074,t,T
100501074,t,bc
100501074,t,S
100501074,t,T
100501075,t,T coro 2
100501075,t,A coro 2
100501075,t,T coro 2
100501075,t,T coro 2
100501076,t,S 1
100501076,t,S 2
100501076,t,bc: arp
100501077,t,S
100501077,t,bc
100501077,t,S
100501077,t,bc
100501081,t,bc
100501083,t,S
100501083,t,T
100501083,t,bc
100501083,t,S
100501083,t,T
100501083,t,bc
100501085,t,T
100501085,t,bc
100501085,t,T
100501085,t,bc
100501085,t,T
100501085,t,bc
100501089,t,S coro 1
100501089,t,T coro 1
100501089,t,S coro 1
100501089,t,S 1 coro 2
100501089,t,a-chirimía
100501090,t,A
100501090,t,bc
100501090,t,A
100501090,t,bc
100501090,t,A
100501090,t,bc
100501092,t,S 1
100501092,t,bc
100501092,t,S
100501092,t,bc
100501093,t,S coro 1
100501093,t,bc
100501094,t,S
100501094,t,bc
100501095,t,S
100501095,t,bc
100501096,t,bc
100501096,t,bc
100501112,t,A
100501112,t,T
100501112,t,T
100501112,t,T
100501112,t,T
100501156,t,S 1 coro 1
100501157,t,S 1 coro 2
100501157,t,vl 1
100501157,t,S coro 1
100501158,t,S coro 1
100501164,t,S 1 coro 1
100501164,t,bc
100501164,t,S 1 coro 1
100501164,t,bc
100501187,t,T
100501187,t,vl 1
100501187,t,bc 2
100501190,t,S coro 3
110003283,t,A
110003292,t,S
110003299,t,B
110003303,t,S
110003304,t,S
190014238,t,S
190014239,t,S
190014240,t,V
190014241,t,A
190014242,t,Bariton
212006919,t,gallichona 1
212006919,t,gallichona 1
212006919,t,gallichona 1
212006920,t,gallichona 1
212006920,t,gallichona 1
212006921,t,gallichona 1
212006921,t,gallichona 1
212006921,t,gallichona 1
212006922,t,gallichona 1
212006922,t,gallichona 1
212006923,t,gallichona 1
212006923,t,gallichona 1
220000039,t,ob 1
220000088,t,vl 1
220000088,t,S solo
220000097,t,cor 1
220000187,t,cl 1
220000196,t,cl 1
220000202,t,cl
220000232,t,cl 1
220000267,t,cl 1
220000270,t,cl 1
220000286,t,cl 1
220000303,t,cl 1
220000323,t,cor 1
220000472,t,cl 1
220000512,t,cor 1
220000663,t,cl 1
220000666,t,cl 1
220000672,t,cl 1
220000673,t,cl 1
225000243,t,V 1 solo
225000244,t,V 2 solo
225000245,t,V 2 solo
225000246,t,V 1 solo
225000247,t,V 1 solo
225000248,t,V 1 solo
225000250,t,V 1 solo
225000251,t,V 1 solo
225000252,t,V 1 solo
225000253,t,V 1 solo
225000254,t,V 1 solo
230000161,t,tr 1
230000249,t,cl
230000249,t,cl
230000249,t,cl
230000511,t,cl 1
230000513,t,cl 1
240000034,t,cor 1
240000059,t,S
240000086,t,org
240000086,t,S coro
240000087,t,bc
240000087,t,Contra-A coro
240000706,t,S
240000707,t,S
240007790,t,lute
250000017,t,cl 1
250000017,t,cl 1
250000017,t,cl 1
250000018,t,cl 1
250000018,t,cl 1
250000025,t,cl
250000025,t,cl
250000025,t,cl
250000068,t,S coro
250000095,t,cor di bassetto
250000120,t,clno 1
300041971,t,cl 1
300041971,t,cl 1
300041971,t,cl 1
300041971,t,cl 1
300043042,t,vl
300043042,t,vl
300043042,t,vl
300043042,t,vl
300043042,t,vl
300043042,t,vl
300505251,t,B
300505252,t,B
300505253,t,B
300505253,t,B
300505254,t,B
300505255,t,B
300505256,t,B
300505256,t,B
300505256,t,B
300505257,t,B
300505288,t,B
304013011,t,cl 1
304013011,t,cl 1
305000587,t,T
310000243,t,S
408003841,t,org
408003845,t,org
408003846,t,org
408003847,t,org
408003848,t,org
408003849,t,org
408003862,t,org
408003879,t,org
408003880,t,org
450015819,t,B solo
450023319,t,cl 1
450042216,t,T
450042222,t,A
450042310,t,S
452027877,t,lute
452027934,t,lute 1
452027940,t,lute 1
452027942,t,lute 1
452027945,t,lute 1
452027956,t,lute 1
452027957,t,lute 1
452027959,t,lute 1
452027963,t,lute 1
453002408,t,S
453005617,t,A 1
453005618,t,A coro 2
453005619,t,A coro 2
453005620,t,S coro 2
453006073,t,b
453006073,t,V
453006074,t,V
453007205,t,b
453012223,t,S
455002678,t,V
455002679,t,V
455002680,t,V
455002681,t,V
455002682,t,V
455002683,t,V
455002684,t,V
455002685,t,V
455002686,t,V
455002687,t,V
455002688,t,V
455002689,t,V
455002690,t,V
455002691,t,V
455002692,t,V
455002693,t,V
455002694,t,V
455002697,t,V
455002698,t,V
455002699,t,V
455002700,t,V
455002701,t,V
455002703,t,V
455002704,t,V
455002705,t,V
455002706,t,V
455002707,t,V
455002709,t,V 1
455002710,t,V
455002712,t,V 1
455002713,t,V
455002715,t,V 1
456009275,t,V
500000365,t,V
600153540,t,S
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153576,t,V
600153579,t,V
600153584,t,lute
600153585,t,lute
600153643,t,V
600153644,t,V
600153645,t,S
600153685,t,S 1
600153909,t,lute
600153949,t,lute
600153967,t,lute
600153971,t,lute
600153983,t,lute
600160429,t,lute
600160471,t,lute
600160489,t,lute
600160507,t,lute
600160570,t,lute
600160639,t,lute
600160716,t,lute
600160731,t,lute
600160783,t,lute
600160783,t,lute
600160783,t,lute
600160783,t,lute
600160783,t,lute
600160783,t,lute
600160783,t,lute
600160783,t,lute
600160783,t,lute
600160783,t,lute
600160783,t,lute
600160783,t,lute
600160783,t,lute
600160783,t,lute
600160783,t,lute
600160783,t,lute
600160783,t,lute
650002790,t,vl 1
650002942,t,S
650002943,t,S
650002943,t,T
650003268,t,Coro 1 S
650007595,t,B
650010087,t,org
650010536,t,vl 1
650010536,t,vlc
650010710,t,S
650010710,t,B
650011040,t,euphonium
650012542,t,keyb
650012887,t,vl 2
650013386,t,org
650013397,t,org
650013427,t,org
650013427,t,org
650013841,t,V 1
650014121,t,org
650014251,t,org
650014570,t,org
650014632,t,T
650014632,t,org
650014633,t,S
650014635,t,S
650014635,t,vl 1
650014642,t,vlne
650014656,t,S
650014656,t,vl 1
650014656,t,org
650014687,t,vl 1
650014701,t,T 1
650014702,t,T 1
650014702,t,B 2
650014703,t,T 1
650014738,t,S 1
650014859,t,vlc
653001755,t,T 1
700005692,t,S
700005693,t,S
700005694,t,S
700005695,t,S
700005696,t,S
700005697,t,A
700005698,t,S
700005703,t,S
700005703,t,S
700005704,t,S
700005704,t,S
700005705,t,S
700005705,t,S
700005706,t,S
700005706,t,S
700005707,t,S
700005707,t,S
700005708,t,S
700005708,t,S
700005708,t,S
700005709,t,S
700005709,t,S
700005710,t,S
700005710,t,S
700005711,t,S
700005711,t,S
700005711,t,S
700005712,t,S
700005712,t,S
700005712,t,S
700005713,t,S
700005713,t,S
700005714,t,S
700005715,t,S
700005715,t,S
700005716,t,A
700005716,t,A
700005717,t,S
700005717,t,S
700005717,t,S
700005717,t,S
700005717,t,S
700005718,t,S
700005718,t,S
700005718,t,S
700005719,t,S
700005719,t,S
700005720,t,S
700005720,t,S
700005720,t,S
700005721,t,S
700005722,t,S
700005722,t,S
700005722,t,S
700005722,t,S
700005723,t,S
700005723,t,S
700005723,t,S
700005723,t,S
700005724,t,S
700005724,t,S
700005725,t,S
700005725,t,S
700005899,t,S
700005899,t,S
700005899,t,S
700006441,t,S
700006441,t,bc
700006448,t,S
700006450,t,S
700006455,t,S
700006456,t,S
700006467,t,S
700006814,t,S
700006815,t,S
700006816,t,S
700006817,t,S
700006818,t,S
700006819,t,S
700006820,t,S
700006821,t,S
700006822,t,S
700006823,t,S
700006824,t,S
700006825,t,S
700006826,t,S
700006827,t,S
700006828,t,S
700006829,t,S
700006830,t,S
700006831,t,S
700006832,t,S
700006833,t,S
700006834,t,S
700006835,t,S
700006836,t,S
700006837,t,S
700006838,t,S
700006839,t,S
700006840,t,S
700006841,t,S
700006842,t,S
700006843,t,S
700006844,t,S
700006846,t,S
700006847,t,S
700006848,t,S
700006849,t,S
700006850,t,S
700006851,t,S
700006852,t,S
700006853,t,S
700006854,t,S
700006855,t,S
700006856,t,S
700006857,t,S
700006858,t,S
700006859,t,S
700006860,t,S
700006861,t,S
700006862,t,S
700006863,t,S
700006864,t,S
700006865,t,S
700006866,t,S
700006867,t,S
700006868,t,S
700006869,t,S
700006870,t,S
700006871,t,S
700006872,t,A 1
700006873,t,Contra-A
700006874,t,Contra-A
700006875,t,Contra-A
700006876,t,A 1
700006877,t,A 1
700006878,t,S
700006879,t,S
700006880,t,S
700006881,t,S
700006882,t,S
700006883,t,S
700006884,t,S
700006885,t,S
700006886,t,S
700006887,t,S
700006888,t,S
700006889,t,S
700006890,t,S
700006891,t,S
700006892,t,S
700006893,t,S
700006894,t,S
700006895,t,S
700006896,t,S
700006897,t,S
700006898,t,S
700006899,t,S
700006900,t,S
700006901,t,S
700006902,t,S
700006903,t,S
700006904,t,S
700006905,t,S
700006906,t,S
700006907,t,S
700006908,t,S
700006909,t,S
700006910,t,S
700006911,t,S
700006912,t,S
700006913,t,S
700007023,t,S
700007025,t,S 2
700007613,t,S
700007614,t,S
700007615,t,S
700007616,t,S
700007617,t,S
700007618,t,S
700007619,t,S
700007620,t,S
700007621,t,S
700007622,t,S
700007623,t,S
700007624,t,S
700007625,t,S
700007626,t,S
700007627,t,S
700007628,t,S
700007629,t,S
700007630,t,S
700007631,t,S
700007632,t,S
700007633,t,S
700007635,t,S
700007636,t,S
700007637,t,S
700007638,t,S
700007640,t,S
700007641,t,S
704000381,t,S
704000412,t,S
704000413,t,Contra-T
704000414,t,Contra-T
704000415,t,Contra-T
704000416,t,B
704000417,t,S
704000418,t,Contra-T
704000419,t,B
704000420,t,T
704000421,t,Contra-T
704000422,t,Contra-T
704000423,t,T
704000424,t,Contra-T
704000425,t,Contra-T
704000426,t,Contra-T
704000427,t,Contra-T
704000428,t,T
704000429,t,A
704000430,t,Contra-T
704000431,t,Contra-T
704000432,t,B 2
704000433,t,S
704000434,t,Contra-T
704000435,t,T 2
704000436,t,B
704000437,t,Contra-T
704000438,t,Contra-T
704000439,t,B
704000440,t,S
704000441,t,Contra-T
704000443,t,T
704000444,t,T
704000445,t,T
704000446,t,T 1
704000446,t,B 1
704000447,t,T
704000448,t,Contra-T
704000449,t,Contra-T
704000450,t,S
704000451,t,S
704000452,t,B
704000453,t,T
704000454,t,Bariton
704000455,t,Bariton
704000456,t,B
704000457,t,B
704000458,t,T
704000459,t,Contra-T
704000460,t,S
704000461,t,T
704000462,t,T
704000463,t,T
704000464,t,B
704000465,t,B
704000466,t,T
704000467,t,S
704000468,t,S
704000469,t,S
704000470,t,T 1
704000471,t,S
704000472,t,Contra-T
800001605,t,V
800001942,t,S
800001943,t,S
800002008,t,S
800002287,t,V
800002318,t,V
800002457,t,cemb
800002459,t,cemb
800002515,t,cemb
800002516,t,cemb
800159392,t,S
800250310,t,cemb
800250311,t,cemb
800250312,t,cemb
800261982,t,s-vla da gamba
850020403,t,A
850024497,t,S
850024528,t,S
850025546,t,S
850025802,t,S
850025827,t,S
850029000,t,V
851002627,t,--
1001040585,t,cl 1
1001229348,t,cl 1
1001229349,t,cl 1
1001229350,t,cl 1
1001229351,t,cl 1
1001229352,t,cl 1
